Z,ALL,QSO
0.05,118.0,60.0
0.15000000000000002,467.0,103.0
0.25,1450.0,163.0
0.35000000000000003,2108.0,324.0
0.45,1669.0,505.0
0.55,703.0,429.0
0.6500000000000001,1270.0,794.0
0.75,1530.0,1192.0
0.8500000000000001,1846.0,1547.0
0.95,2617.0,2245.0
1.05,3271.0,2869.0
1.1500000000000001,3661.0,3412.0
1.25,4127.0,3975.0
1.35,4234.0,4094.0
1.4500000000000002,4279.0,4132.0
1.55,4658.0,4409.0
1.6500000000000001,4880.0,4486.0
1.75,5144.0,4653.0
1.85,5043.0,4494.0
1.9500000000000002,4714.0,4227.0
2.05,4330.0,3840.0
2.1500000000000004,4096.0,3569.0
2.25,3779.0,3219.0
2.3500000000000005,3469.0,2907.0
2.45,3098.0,2553.0
2.55,2507.0,2148.0
2.6500000000000004,1941.0,1717.0
2.75,1731.0,1529.0
2.8500000000000005,1423.0,1254.0
2.95,1188.0,1037.0
3.05,1030.0,913.0
3.1500000000000004,753.0,713.0
3.25,633.0,577.0
3.3500000000000005,536.0,495.0
3.45,350.0,319.0
3.55,264.0,245.0
3.6500000000000004,219.0,203.0
3.75,214.0,171.0
3.8500000000000005,181.0,144.0
3.95,136.0,127.0
