Z,ALL,STAR
-0.0014625,180.0,134.0
-0.0013875,233.0,178.0
-0.0013125,340.0,257.0
-0.0012375,530.0,431.0
-0.0011625000000000001,801.0,670.0
-0.0010875,1220.0,1000.0
-0.0010125,1855.0,1540.0
-0.0009375,2385.0,2041.0
-0.0008625,2853.0,2489.0
-0.0007875,3691.0,3299.0
-0.0007125,4511.0,3984.0
-0.0006374999999999999,5555.0,4996.0
-0.0005625,7133.0,6445.0
-0.0004874999999999999,9201.0,8440.0
-0.0004124999999999999,13115.0,12215.0
-0.0003374999999999999,19120.0,18154.0
-0.00026249999999999993,31685.0,30189.0
-0.00018749999999999995,52252.0,50060.0
-0.00011249999999999997,78153.0,74987.0
-3.749999999999999e-05,89713.0,85727.0
3.75000000000001e-05,67282.0,63871.0
0.00011250000000000019,40281.0,37556.0
0.00018750000000000017,23146.0,21275.0
0.00026250000000000015,12984.0,11816.0
0.0003375000000000001,7972.0,7234.0
0.0004125000000000001,5212.0,4677.0
0.0004875000000000002,3588.0,3208.0
0.0005625000000000003,2710.0,2390.0
0.0006375000000000003,2035.0,1780.0
0.0007125000000000002,1551.0,1349.0
0.0007875000000000002,1282.0,1120.0
0.0008625000000000002,921.0,803.0
0.0009375000000000002,701.0,598.0
0.0010125000000000002,478.0,416.0
0.0010875000000000001,403.0,349.0
0.0011625000000000001,250.0,213.0
0.0012375,202.0,166.0
0.0013125,108.0,81.0
0.0013875,57.0,44.0
0.0014625,45.0,25.0
